"Alfa","Acesso-Medio"
2,1.007
4,1.018
6,1.02333
8,1.0355
10,1.0464
12,1.05908
14,1.06836
16,1.07869
18,1.09111
20,1.1061
22,1.11818
24,1.12992
26,1.14288
28,1.15854
30,1.17337
32,1.18966
34,1.20391
36,1.22119
38,1.24039
40,1.25945
42,1.27831
44,1.29925
46,1.31926
48,1.34162
50,1.36404
52,1.39252
54,1.41819
56,1.4453
58,1.47726
60,1.50842
62,1.54152
64,1.57616
66,1.61508
68,1.65774
70,1.70756
72,1.7624
74,1.82378
76,1.88879
78,1.96572
80,2.04859
82,2.15509
84,2.26657
86,2.39871
88,2.55481
90,2.77678
92,3.04704
94,3.43097
96,4.03731
98,5.09814
