"Alfa","Acesso-Medio"
2,1.007
4,1.019
6,1.02483
8,1.03775
10,1.0499
12,1.06275
14,1.07379
16,1.08487
18,1.09806
20,1.11365
22,1.12577
24,1.13862
26,1.15188
28,1.17064
30,1.1879
32,1.20709
34,1.22626
36,1.24653
38,1.26905
40,1.2939
42,1.31888
44,1.3457
46,1.37193
48,1.40313
50,1.44148
52,1.48027
54,1.51843
56,1.55977
58,1.61021
60,1.65938
62,1.71631
64,1.78083
66,1.85341
68,1.9299
70,2.02
72,2.11319
74,2.22377
76,2.35778
78,2.50723
80,2.68157
82,2.89666
84,3.15582
86,3.48372
88,3.91537
90,4.53277
92,5.33607
94,6.47977
96,8.42823
98,11.8102
