"Conjunto","Alfa","Acesso-Medio"
0,2,1
0,4,1.02564
0,6,1.05085
0,8,1.03797
0,10,1.05051
0,12,1.06723
0,14,1.11511
0,16,1.11321
0,18,1.11173
0,20,1.13065
0,22,1.14155
0,24,1.16318
0,26,1.17761
0,28,1.17921
0,30,1.20401
0,32,1.2163
0,34,1.23077
0,36,1.27654
0,38,1.28042
0,40,1.3191
0,42,1.32536
0,44,1.34475
0,46,1.37118
0,48,1.38703
0,50,1.41165
0,52,1.42085
0,54,1.49442
0,56,1.55735
0,58,1.61246
0,60,1.74916
0,62,1.83819
0,64,1.88558
0,66,1.97112
0,68,2.03102
0,70,2.14491
0,72,2.21199
0,74,2.26594
0,76,2.3897
0,78,2.46718
0,80,2.61481
0,82,2.81518
0,84,3.0908
0,86,3.41657
0,88,3.59635
0,90,3.92419
0,92,4.57252
0,94,6.19637
0,96,7.86207
0,98,10.3204
1,2,1
1,4,1
1,6,1
1,8,1
1,10,1.0101
1,12,1.03361
1,14,1.05036
1,16,1.05031
1,18,1.06145
1,20,1.07538
1,22,1.07763
1,24,1.08787
1,26,1.09653
1,28,1.10753
1,30,1.14047
1,32,1.17555
1,34,1.18343
1,36,1.18156
1,38,1.18519
1,40,1.22864
1,42,1.29665
1,44,1.30594
1,46,1.34498
1,48,1.37238
1,50,1.38554
1,52,1.50193
1,54,1.5539
1,56,1.58602
1,58,1.6955
1,60,1.73746
1,62,1.81877
1,64,1.87931
1,66,1.94225
1,68,1.97341
1,70,2.07317
1,72,2.20223
1,74,2.27815
1,76,2.3646
1,78,2.49678
1,80,2.58218
1,82,2.70012
1,84,2.78853
1,86,3.01867
1,88,3.45952
1,90,4.18952
1,92,4.99782
1,94,6.38634
1,96,9.19227
1,98,12.131
2,2,1
2,4,1.02564
2,6,1.01695
2,8,1.05063
2,10,1.05051
2,12,1.05042
2,14,1.06475
2,16,1.0566
2,18,1.09497
2,20,1.11558
2,22,1.11416
2,24,1.13389
2,26,1.15058
2,28,1.16129
2,30,1.1806
2,32,1.18182
2,34,1.21598
2,36,1.21788
2,38,1.24868
2,40,1.25628
2,42,1.2823
2,44,1.3242
2,46,1.35371
2,48,1.43096
2,50,1.45984
2,52,1.46718
2,54,1.49071
2,56,1.55018
2,58,1.60727
2,60,1.67391
2,62,1.7055
2,64,1.81348
2,66,1.88754
2,68,1.96307
2,70,2.03874
2,72,2.1046
2,74,2.32972
2,76,2.48217
2,78,2.57658
2,80,2.73902
2,82,2.93268
2,84,3.10633
2,86,3.56476
2,88,4.27366
2,90,5.40803
2,92,6.81897
2,94,9.25934
2,96,12.0867
2,98,15.1054
3,2,1
3,4,1
3,6,1.0339
3,8,1.03797
3,10,1.0303
3,12,1.03361
3,14,1.04317
3,16,1.04403
3,18,1.07821
3,20,1.09548
3,22,1.10046
3,24,1.09623
3,26,1.10039
3,28,1.11111
3,30,1.14047
3,32,1.19749
3,34,1.21006
3,36,1.21229
3,38,1.23545
3,40,1.24372
3,42,1.26794
3,44,1.30137
3,46,1.34061
3,48,1.38703
3,50,1.38956
3,52,1.4305
3,54,1.44052
3,56,1.51075
3,58,1.56401
3,60,1.60702
3,62,1.68932
3,64,1.78683
3,66,1.90426
3,68,2.04136
3,70,2.29125
3,72,2.47699
3,74,2.64586
3,76,2.78071
3,78,2.8713
3,80,2.97491
3,82,3.14443
3,84,3.42413
3,86,3.67911
3,88,4.11973
3,90,4.86734
3,92,5.48637
3,94,6.20811
3,96,6.89028
3,98,8.57318
4,2,1
4,4,1.10256
4,6,1.0678
4,8,1.06329
4,10,1.05051
4,12,1.05882
4,14,1.05036
4,16,1.0566
4,18,1.06145
4,20,1.08543
4,22,1.11416
4,24,1.12134
4,26,1.11969
4,28,1.14695
4,30,1.16054
4,32,1.15674
4,34,1.1716
4,36,1.18994
4,38,1.2328
4,40,1.23618
4,42,1.25598
4,44,1.28995
4,46,1.29913
4,48,1.30544
4,50,1.33534
4,52,1.36486
4,54,1.37918
4,56,1.39247
4,58,1.42215
4,60,1.50167
4,62,1.59547
4,64,1.66928
4,66,1.71277
4,68,1.87001
4,70,2.07174
4,72,2.1325
4,74,2.23745
4,76,2.30515
4,78,2.45946
4,80,2.62233
4,82,2.9033
4,84,3.32019
4,86,3.76896
4,88,4.77765
4,90,5.50725
4,92,6.17557
4,94,7.39381
4,96,8.53187
4,98,12.7851
5,2,1
5,4,1
5,6,1.01695
5,8,1.01266
5,10,1.0101
5,12,1.02521
5,14,1.04317
5,16,1.06289
5,18,1.07821
5,20,1.0804
5,22,1.10959
5,24,1.14226
5,26,1.1583
5,28,1.1828
5,30,1.20736
5,32,1.22571
5,34,1.23964
5,36,1.26536
5,38,1.28042
5,40,1.32663
5,42,1.3445
5,44,1.38584
5,46,1.39301
5,48,1.42678
5,50,1.48394
5,52,1.53475
5,54,1.56506
5,56,1.59857
5,58,1.67128
5,60,1.70234
5,62,1.80259
5,64,1.8652
5,66,1.96201
5,68,2.01034
5,70,2.07747
5,72,2.20642
5,74,2.33379
5,76,2.56011
5,78,2.67053
5,80,3.22083
5,82,3.52876
5,84,3.72043
5,86,4.14936
5,88,4.56899
5,90,5.11148
5,92,6.01745
5,94,7.38527
5,96,9.04284
5,98,13.1924
6,2,1
6,4,1.02564
6,6,1.0339
6,8,1.05063
6,10,1.05051
6,12,1.05882
6,14,1.07194
6,16,1.08805
6,18,1.0838
6,20,1.09045
6,22,1.10959
6,24,1.12134
6,26,1.15058
6,28,1.16846
6,30,1.19732
6,32,1.22257
6,34,1.22485
6,36,1.22905
6,38,1.22751
6,40,1.25377
6,42,1.30622
6,44,1.34475
6,46,1.36681
6,48,1.38494
6,50,1.41365
6,52,1.43629
6,54,1.45539
6,56,1.47133
6,58,1.51557
6,60,1.56856
6,62,1.59547
6,64,1.60815
6,66,1.66261
6,68,1.69424
6,70,1.75036
6,72,1.82566
6,74,1.87517
6,76,1.96301
6,78,2.06049
6,80,2.1744
6,82,2.29988
6,84,2.52927
6,86,2.67445
6,88,2.82896
6,90,3.12486
