"Alfa","Acesso-Medio"
2,1.007
4,1.01825
6,1.023
8,1.03425
10,1.0442
12,1.05442
14,1.06229
16,1.07019
18,1.079
20,1.0894
22,1.09773
24,1.10608
26,1.11415
28,1.12429
30,1.13277
32,1.14212
34,1.15041
36,1.15892
38,1.16837
40,1.17775
42,1.18681
44,1.19593
46,1.20315
48,1.21212
50,1.22142
52,1.23212
54,1.24039
56,1.24814
58,1.25771
60,1.26638
62,1.27563
64,1.28366
66,1.29238
68,1.30065
70,1.30949
72,1.31853
74,1.32854
76,1.33758
78,1.34567
80,1.35453
82,1.36359
84,1.37157
86,1.38029
88,1.38845
90,1.39833
92,1.40691
94,1.41537
96,1.42449
98,1.43334
