"Conjunto","Alfa","Acesso-Medio"
0,2,1
0,4,1.02564
0,6,1.05085
0,8,1.03797
0,10,1.05051
0,12,1.06723
0,14,1.10791
0,16,1.10692
0,18,1.10056
0,20,1.1206
0,22,1.12785
0,24,1.14226
0,26,1.15058
0,28,1.15054
0,30,1.15385
0,32,1.15987
0,34,1.16864
0,36,1.18994
0,38,1.19312
0,40,1.19598
0,42,1.20096
0,44,1.21918
0,46,1.22707
0,48,1.22803
0,50,1.23695
0,52,1.23552
0,54,1.24535
0,56,1.25448
0,58,1.26298
0,60,1.27425
0,62,1.27994
0,64,1.29154
0,66,1.29939
0,68,1.31019
0,70,1.3142
0,72,1.33194
0,74,1.3365
0,76,1.34742
0,78,1.3462
0,80,1.35634
0,82,1.36108
0,84,1.37754
0,86,1.3909
0,88,1.40251
0,90,1.41249
0,92,1.41876
0,94,1.42369
0,96,1.43051
0,98,1.44012
1,2,1
1,4,1
1,6,1
1,8,1
1,10,1.0101
1,12,1.03361
1,14,1.05036
1,16,1.05031
1,18,1.05028
1,20,1.0603
1,22,1.05936
1,24,1.06695
1,26,1.07336
1,28,1.07527
1,30,1.09365
1,32,1.11285
1,34,1.11243
1,36,1.11453
1,38,1.12169
1,40,1.13819
1,42,1.1555
1,44,1.15525
1,46,1.17904
1,48,1.18619
1,50,1.19076
1,52,1.20849
1,54,1.22862
1,56,1.23835
1,58,1.25433
1,60,1.26923
1,62,1.27508
1,64,1.28527
1,66,1.29787
1,68,1.30724
1,70,1.31133
1,72,1.32218
1,74,1.33379
1,76,1.34214
1,78,1.34749
1,80,1.35759
1,82,1.37209
1,84,1.37873
1,86,1.38973
1,88,1.39681
1,90,1.40022
1,92,1.40894
1,94,1.42263
1,96,1.43156
1,98,1.44831
2,2,1
2,4,1.02564
2,6,1.01695
2,8,1.05063
2,10,1.05051
2,12,1.05042
2,14,1.05036
2,16,1.04403
2,18,1.07263
2,20,1.07035
2,22,1.07306
2,24,1.08787
2,26,1.09266
2,28,1.10753
2,30,1.12709
2,32,1.12539
2,34,1.14201
2,36,1.14525
2,38,1.14815
2,40,1.15075
2,42,1.1555
2,44,1.16667
2,46,1.17031
2,48,1.19247
2,50,1.1988
2,52,1.19498
2,54,1.2026
2,56,1.21685
2,58,1.23356
2,60,1.25084
2,62,1.26375
2,64,1.27743
2,66,1.28875
2,68,1.29838
2,70,1.30846
2,72,1.31381
2,74,1.32564
2,76,1.33686
2,78,1.35135
2,80,1.3601
2,82,1.36475
2,84,1.36798
2,86,1.37456
2,88,1.39111
2,90,1.39353
2,92,1.4024
2,94,1.40982
2,96,1.42111
2,98,1.42886
3,2,1
3,4,1
3,6,1.0339
3,8,1.02532
3,10,1.0202
3,12,1.02521
3,14,1.03597
3,16,1.03774
3,18,1.06704
3,20,1.07035
3,22,1.07763
3,24,1.07531
3,26,1.07722
3,28,1.08961
3,30,1.09365
3,32,1.12226
3,34,1.13018
3,36,1.13408
3,38,1.1455
3,40,1.14573
3,42,1.15789
3,44,1.16895
3,46,1.17904
3,48,1.18619
3,50,1.19478
3,52,1.2027
3,54,1.20632
3,56,1.22581
3,58,1.24913
3,60,1.25251
3,62,1.26214
3,64,1.27429
3,66,1.28875
3,68,1.28656
3,70,1.3056
3,72,1.32078
3,74,1.327
3,76,1.33818
3,78,1.3462
3,80,1.35634
3,82,1.3623
3,84,1.38112
3,86,1.38623
3,88,1.39567
3,90,1.41249
3,92,1.42421
3,94,1.43436
3,96,1.43887
3,98,1.44729
4,2,1
4,4,1.05128
4,6,1.0339
4,8,1.03797
4,10,1.0303
4,12,1.03361
4,14,1.02878
4,16,1.03774
4,18,1.04469
4,20,1.0603
4,22,1.07763
4,24,1.08368
4,26,1.08494
4,28,1.09677
4,30,1.11037
4,32,1.10345
4,34,1.11538
4,36,1.12849
4,38,1.14286
4,40,1.14573
4,42,1.15789
4,44,1.16667
4,46,1.16594
4,48,1.16527
4,50,1.17671
4,52,1.18147
4,54,1.18401
4,56,1.18996
4,58,1.20069
4,60,1.21237
4,62,1.22492
4,64,1.23354
4,66,1.24316
4,68,1.25849
4,70,1.26542
4,72,1.27894
4,74,1.28765
4,76,1.2959
4,78,1.30631
4,80,1.31619
4,82,1.32191
4,84,1.33572
4,86,1.34889
4,88,1.35918
4,90,1.37124
4,92,1.38168
4,94,1.38954
4,96,1.39394
4,98,1.4002
5,2,1
5,4,1
5,6,1.01695
5,8,1.01266
5,10,1.0101
5,12,1.02521
5,14,1.04317
5,16,1.0566
5,18,1.06704
5,20,1.07035
5,22,1.07763
5,24,1.08787
5,26,1.10039
5,28,1.1147
5,30,1.12709
5,32,1.1348
5,34,1.14497
5,36,1.14804
5,38,1.15608
5,40,1.16583
5,42,1.17464
5,44,1.1895
5,46,1.18996
5,48,1.19456
5,50,1.20281
5,52,1.20463
5,54,1.2119
5,56,1.22222
5,58,1.23875
5,60,1.24415
5,62,1.2589
5,64,1.26489
5,66,1.27052
5,68,1.2777
5,70,1.28407
5,72,1.29568
5,74,1.31208
5,76,1.32497
5,78,1.33076
5,80,1.34504
5,82,1.35251
5,84,1.3632
5,86,1.37223
5,88,1.37856
5,90,1.39019
5,92,1.40131
5,94,1.41409
5,96,1.42529
5,98,1.43501
6,2,1
6,4,1.02564
6,6,1.0339
6,8,1.05063
6,10,1.05051
6,12,1.05882
6,14,1.07194
6,16,1.08805
6,18,1.0838
6,20,1.08543
6,22,1.09132
6,24,1.09205
6,26,1.10039
6,28,1.10753
6,30,1.12709
6,32,1.13793
6,34,1.13905
6,36,1.14525
6,38,1.14815
6,40,1.1608
6,42,1.18182
6,44,1.1895
6,46,1.19651
6,48,1.19456
6,50,1.21285
6,52,1.22201
6,54,1.23048
6,56,1.23297
6,58,1.24221
6,60,1.25084
6,62,1.25243
6,64,1.25705
6,66,1.26292
6,68,1.27179
6,70,1.27834
6,72,1.29289
6,74,1.30529
6,76,1.30911
6,78,1.32432
6,80,1.33124
6,82,1.34149
6,84,1.34886
6,86,1.35473
6,88,1.36146
6,90,1.3757
