"Conjunto","Alfa","Acesso-Medio"
0,2,1
0,4,1.02564
0,6,1.05085
0,8,1.03797
0,10,1.05051
0,12,1.06723
0,14,1.10791
0,16,1.10692
0,18,1.11173
0,20,1.13065
0,22,1.13699
0,24,1.15481
0,26,1.16602
0,28,1.17204
0,30,1.18395
0,32,1.19122
0,34,1.20414
0,36,1.23184
0,38,1.24339
0,40,1.25126
0,42,1.26316
0,44,1.28082
0,46,1.29039
0,48,1.29289
0,50,1.3012
0,52,1.30502
0,54,1.32528
0,56,1.34588
0,58,1.35121
0,60,1.36455
0,62,1.37055
0,64,1.38245
0,66,1.39362
0,68,1.41064
0,70,1.42037
0,72,1.44351
0,74,1.45997
0,76,1.4782
0,78,1.4852
0,80,1.50565
0,82,1.52387
0,84,1.54361
0,86,1.56009
0,88,1.57925
0,90,1.60312
0,92,1.61723
0,94,1.63287
0,96,1.65308
0,98,1.67963
1,2,1
1,4,1
1,6,1
1,8,1
1,10,1.0101
1,12,1.03361
1,14,1.05036
1,16,1.05031
1,18,1.05028
1,20,1.0603
1,22,1.06393
1,24,1.07113
1,26,1.07722
1,28,1.08244
1,30,1.10033
1,32,1.11912
1,34,1.11834
1,36,1.12849
1,38,1.14021
1,40,1.1608
1,42,1.18182
1,44,1.18721
1,46,1.21397
1,48,1.22176
1,50,1.23293
1,52,1.25483
1,54,1.28253
1,56,1.29928
1,58,1.3218
1,60,1.33612
1,62,1.34466
1,64,1.36364
1,66,1.38146
1,68,1.39143
1,70,1.40172
1,72,1.41702
1,74,1.43284
1,76,1.44518
1,78,1.45817
1,80,1.47679
1,82,1.49694
1,84,1.51852
1,86,1.54142
1,88,1.561
1,90,1.57525
1,92,1.59324
1,94,1.62006
1,96,1.63427
1,98,1.65916
2,2,1
2,4,1.02564
2,6,1.01695
2,8,1.05063
2,10,1.05051
2,12,1.05042
2,14,1.05036
2,16,1.04403
2,18,1.0838
2,20,1.08543
2,22,1.08676
2,24,1.10042
2,26,1.11583
2,28,1.1362
2,30,1.16054
2,32,1.16614
2,34,1.18639
2,36,1.18994
2,38,1.19312
2,40,1.19598
2,42,1.20574
2,44,1.22146
2,46,1.22707
2,48,1.25105
2,50,1.25703
2,52,1.25483
2,54,1.26208
2,56,1.28136
2,58,1.29931
2,60,1.31605
2,62,1.33981
2,64,1.36207
2,66,1.37538
2,68,1.39734
2,70,1.41033
2,72,1.4212
2,74,1.4464
2,76,1.45971
2,78,1.47362
2,80,1.49184
2,82,1.50673
2,84,1.5221
2,86,1.53676
2,88,1.55872
2,90,1.57971
2,92,1.60523
2,94,1.6222
2,96,1.64786
2,98,1.67758
3,2,1
3,4,1
3,6,1.0339
3,8,1.02532
3,10,1.0202
3,12,1.02521
3,14,1.04317
3,16,1.04403
3,18,1.0838
3,20,1.09045
3,22,1.09589
3,24,1.09205
3,26,1.09266
3,28,1.10753
3,30,1.11037
3,32,1.1442
3,34,1.15089
3,36,1.15363
3,38,1.16402
3,40,1.16834
3,42,1.17943
3,44,1.1895
3,46,1.19869
3,48,1.20711
3,50,1.22088
3,52,1.23166
3,54,1.23792
3,56,1.26165
3,58,1.2872
3,60,1.29599
3,62,1.30583
3,64,1.32445
3,66,1.34347
3,68,1.34417
3,70,1.36585
3,72,1.38912
3,74,1.40163
3,76,1.41744
3,78,1.43501
3,80,1.45922
3,82,1.47613
3,84,1.50896
3,86,1.51692
3,88,1.53478
3,90,1.56633
3,92,1.58451
3,94,1.60512
3,96,1.62069
3,98,1.64278
4,2,1
4,4,1.05128
4,6,1.0339
4,8,1.03797
4,10,1.0303
4,12,1.03361
4,14,1.02878
4,16,1.04403
4,18,1.05028
4,20,1.06533
4,22,1.08219
4,24,1.08787
4,26,1.09266
4,28,1.10753
4,30,1.12375
4,32,1.11599
4,34,1.13018
4,36,1.14525
4,38,1.16138
4,40,1.16834
4,42,1.18182
4,44,1.1895
4,46,1.18777
4,48,1.19038
4,50,1.20683
4,52,1.21622
4,54,1.22491
4,56,1.23297
4,58,1.2474
4,60,1.27258
4,62,1.29126
4,64,1.29781
4,66,1.31307
4,68,1.33826
4,70,1.3472
4,72,1.36262
4,74,1.37585
4,76,1.39498
4,78,1.4157
4,80,1.43162
4,82,1.44553
4,84,1.46595
4,86,1.48658
4,88,1.50513
4,90,1.52508
4,92,1.54308
4,94,1.5667
4,96,1.58203
4,98,1.60287
5,2,1
5,4,1
5,6,1.01695
5,8,1.01266
5,10,1.0101
5,12,1.02521
5,14,1.04317
5,16,1.0566
5,18,1.06704
5,20,1.07035
5,22,1.08219
5,24,1.09205
5,26,1.10811
5,28,1.12186
5,30,1.13378
5,32,1.14107
5,34,1.15385
5,36,1.15642
5,38,1.16931
5,40,1.18844
5,42,1.19856
5,44,1.22146
5,46,1.22489
5,48,1.22803
5,50,1.24096
5,52,1.2471
5,54,1.26022
5,56,1.28495
5,58,1.30623
5,60,1.3194
5,62,1.33172
5,64,1.34953
5,66,1.35562
5,68,1.36928
5,70,1.3759
5,72,1.39331
5,74,1.41248
5,76,1.42933
5,78,1.44273
5,80,1.46675
5,82,1.4896
5,84,1.50657
5,86,1.51809
5,88,1.5382
5,90,1.55741
5,92,1.57906
5,94,1.60192
5,96,1.62278
5,98,1.64381
6,2,1
6,4,1.02564
6,6,1.0339
6,8,1.05063
6,10,1.06061
6,12,1.07563
6,14,1.08633
6,16,1.10063
6,18,1.10615
6,20,1.10553
6,22,1.10959
6,24,1.11297
6,26,1.12355
6,28,1.13262
6,30,1.15385
6,32,1.16301
6,34,1.16272
6,36,1.17318
6,38,1.1746
6,40,1.18593
6,42,1.21053
6,44,1.22831
6,46,1.24454
6,48,1.25105
6,50,1.26908
6,52,1.27799
6,54,1.29182
6,56,1.30108
6,58,1.31488
6,60,1.3311
6,62,1.33495
6,64,1.3511
6,66,1.3617
6,68,1.387
6,70,1.40172
6,72,1.42259
6,74,1.44505
6,76,1.46367
6,78,1.48134
6,80,1.49812
6,82,1.51408
6,84,1.52091
6,86,1.54376
6,88,1.56214
6,90,1.58417
