"Conjunto","Alfa","Acesso-Medio"
0,2,1
0,4,1.025
0,6,1.01667
0,8,1.05
0,10,1.04
0,12,1.04167
0,14,1.06429
0,16,1.075
0,18,1.07778
0,20,1.09
0,22,1.10909
0,24,1.11667
0,26,1.14615
0,28,1.16071
0,30,1.16667
0,32,1.18438
0,34,1.20294
0,36,1.21389
0,38,1.22368
0,40,1.245
0,42,1.26667
0,44,1.29545
0,46,1.34348
0,48,1.38125
0,50,1.408
0,52,1.44038
0,54,1.44444
0,56,1.48929
0,58,1.5431
0,60,1.58167
0,62,1.61774
0,64,1.65313
0,66,1.67879
0,68,1.69559
0,70,1.76
0,72,1.80556
0,74,1.84054
0,76,1.92895
0,78,1.98077
0,80,2.05875
0,82,2.10122
0,84,2.18333
0,86,2.2814
0,88,2.40114
0,90,2.60222
0,92,2.71304
0,94,3.14362
0,96,3.44688
0,98,4.30918
1,2,1
1,4,1
1,6,1.01667
1,8,1.0125
1,10,1.03
1,12,1.04167
1,14,1.05
1,16,1.06875
1,18,1.07778
1,20,1.1
1,22,1.11364
1,24,1.11667
1,26,1.11923
1,28,1.14286
1,30,1.14333
1,32,1.18125
1,34,1.17941
1,36,1.22222
1,38,1.28421
1,40,1.3075
1,42,1.31667
1,44,1.35227
1,46,1.36087
1,48,1.37292
1,50,1.392
1,52,1.40769
1,54,1.42037
1,56,1.45893
1,58,1.48276
1,60,1.52667
1,62,1.55161
1,64,1.61406
1,66,1.63485
1,68,1.68676
1,70,1.71429
1,72,1.80694
1,74,1.88649
1,76,1.97895
1,78,2.07179
1,80,2.16375
1,82,2.3
1,84,2.34524
1,86,2.4686
1,88,2.63864
1,90,3.14222
1,92,3.55109
1,94,3.91809
1,96,4.78958
1,98,5.86633
2,2,1
2,4,1.025
2,6,1.01667
2,8,1.0375
2,10,1.06
2,12,1.06667
2,14,1.07143
2,16,1.06875
2,18,1.07778
2,20,1.12
2,22,1.12273
2,24,1.125
2,26,1.13462
2,28,1.15714
2,30,1.16333
2,32,1.17188
2,34,1.19412
2,36,1.20278
2,38,1.21842
2,40,1.2425
2,42,1.27143
2,44,1.27727
2,46,1.28913
2,48,1.32083
2,50,1.332
2,52,1.36731
2,54,1.38333
2,56,1.40893
2,58,1.44655
2,60,1.49833
2,62,1.52903
2,64,1.55625
2,66,1.59394
2,68,1.65735
2,70,1.69
2,72,1.77639
2,74,1.86486
2,76,1.91711
2,78,1.99872
2,80,2.1425
2,82,2.27561
2,84,2.42262
2,86,2.59884
2,88,2.82159
2,90,3.08222
2,92,3.49783
2,94,4.01702
2,96,5.08542
2,98,6.77041
3,2,1
3,4,1
3,6,1
3,8,1
3,10,1
3,12,1
3,14,1.02857
3,16,1.06875
3,18,1.07778
3,20,1.13
3,22,1.12727
3,24,1.12917
3,26,1.13846
3,28,1.16429
3,30,1.17667
3,32,1.20625
3,34,1.21471
3,36,1.23333
3,38,1.25263
3,40,1.27
3,42,1.30952
3,44,1.32273
3,46,1.33043
3,48,1.35
3,50,1.394
3,52,1.40769
3,54,1.42963
3,56,1.43214
3,58,1.46552
3,60,1.50833
3,62,1.51935
3,64,1.54219
3,66,1.59848
3,68,1.64559
3,70,1.73429
3,72,1.78333
3,74,1.84054
3,76,1.89211
3,78,1.97051
3,80,2.025
3,82,2.07073
3,84,2.1381
3,86,2.24884
3,88,2.45795
3,90,2.71222
3,92,2.9913
3,94,3.29043
3,96,3.63438
3,98,4.25918
4,2,1
4,4,1.025
4,6,1.1
4,8,1.075
4,10,1.07
4,12,1.05833
4,14,1.05
4,16,1.075
4,18,1.07778
4,20,1.125
4,22,1.12727
4,24,1.15417
4,26,1.16538
4,28,1.17857
4,30,1.18333
4,32,1.19375
4,34,1.20882
4,36,1.21944
4,38,1.24211
4,40,1.27
4,42,1.31905
4,44,1.33864
4,46,1.35435
4,48,1.37083
4,50,1.392
4,52,1.44231
4,54,1.48889
4,56,1.49821
4,58,1.52586
4,60,1.56833
4,62,1.6
4,64,1.62344
4,66,1.6803
4,68,1.74118
4,70,1.81
4,72,1.87222
4,74,1.89054
4,76,1.95132
4,78,2.0359
4,80,2.15875
4,82,2.2939
4,84,2.39524
4,86,2.56977
4,88,2.71818
4,90,2.91111
4,92,3.18478
4,94,3.46809
4,96,3.96875
4,98,4.91224
5,2,1
5,4,1
5,6,1
5,8,1.0375
5,10,1.06
5,12,1.06667
5,14,1.07143
5,16,1.075
5,18,1.07778
5,20,1.075
5,22,1.08182
5,24,1.08333
5,26,1.09615
5,28,1.10357
5,30,1.12
5,32,1.13125
5,34,1.15
5,36,1.17222
5,38,1.19737
5,40,1.205
5,42,1.21429
5,44,1.23182
5,46,1.26739
5,48,1.27708
5,50,1.312
5,52,1.32692
5,54,1.34259
5,56,1.36964
5,58,1.42241
5,60,1.43833
5,62,1.46613
5,64,1.51094
5,66,1.53182
5,68,1.56618
5,70,1.60143
5,72,1.63333
5,74,1.72568
5,76,1.80658
5,78,1.90897
5,80,1.97375
5,82,2.05732
5,84,2.1631
5,86,2.30233
5,88,2.44659
5,90,2.70222
5,92,2.82609
5,94,3.21064
5,96,4.05
5,98,4.54082
6,2,1
6,4,1
6,6,1
6,8,1.0375
6,10,1.03
6,12,1.03333
6,14,1.03571
6,16,1.05625
6,18,1.05556
6,20,1.085
6,22,1.10455
6,24,1.11667
6,26,1.12308
6,28,1.12143
6,30,1.14
6,32,1.15625
6,34,1.18235
6,36,1.18333
6,38,1.19474
6,40,1.2175
6,42,1.23095
6,44,1.26364
6,46,1.28478
6,48,1.30625
6,50,1.324
6,52,1.35577
6,54,1.39815
6,56,1.44464
6,58,1.46552
6,60,1.495
6,62,1.52742
6,64,1.55
6,66,1.57727
6,68,1.60294
6,70,1.63571
6,72,1.66667
6,74,1.70676
6,76,1.77895
6,78,1.84103
6,80,1.9025
6,82,1.98659
6,84,2.05
6,86,2.22907
6,88,2.36591
6,90,2.50222
6,92,2.76957
6,94,3.17447
6,96,3.57396
6,98,4.29388
7,2,1
7,4,1.025
7,6,1.01667
7,8,1.0375
7,10,1.03
7,12,1.05833
7,14,1.05
7,16,1.04375
7,18,1.07778
7,20,1.08
7,22,1.1
7,24,1.1
7,26,1.12308
7,28,1.14643
7,30,1.19
7,32,1.21563
7,34,1.22353
7,36,1.25556
7,38,1.28158
7,40,1.2925
7,42,1.30476
7,44,1.32273
7,46,1.35435
7,48,1.37917
7,50,1.426
7,52,1.45385
7,54,1.46667
7,56,1.49107
7,58,1.51034
7,60,1.52167
7,62,1.5371
7,64,1.56406
7,66,1.61667
7,68,1.69853
7,70,1.75571
7,72,1.80833
7,74,1.86486
7,76,1.89868
7,78,1.9641
7,80,2.07125
7,82,2.19634
7,84,2.27024
7,86,2.45581
7,88,2.68409
7,90,2.97444
7,92,3.13587
7,94,3.64043
7,96,4.16354
7,98,5.24388
8,2,1
8,4,1.025
8,6,1.01667
8,8,1.0375
8,10,1.04
8,12,1.04167
8,14,1.03571
8,16,1.04375
8,18,1.06111
8,20,1.075
8,22,1.09545
8,24,1.10833
8,26,1.11923
8,28,1.125
8,30,1.14333
8,32,1.15937
8,34,1.17353
8,36,1.19722
8,38,1.21053
8,40,1.2325
8,42,1.25
8,44,1.26136
8,46,1.26739
8,48,1.2875
8,50,1.318
8,52,1.32692
8,54,1.35556
8,56,1.37679
8,58,1.41034
8,60,1.46167
8,62,1.4871
8,64,1.51719
8,66,1.55152
8,68,1.59853
8,70,1.68571
8,72,1.75
8,74,1.87973
8,76,1.93553
8,78,2.00641
8,80,2.03875
8,82,2.11707
8,84,2.19881
8,86,2.34767
8,88,2.48977
8,90,2.59778
8,92,2.80761
8,94,3.20106
8,96,3.69167
8,98,4.60408
9,2,1
9,4,1
9,6,1
9,8,1.025
9,10,1.05
9,12,1.06667
9,14,1.07857
9,16,1.06875
9,18,1.07222
9,20,1.08
9,22,1.1
9,24,1.11667
9,26,1.13462
9,28,1.16786
9,30,1.19
9,32,1.19687
9,34,1.20882
9,36,1.22222
9,38,1.22368
9,40,1.2425
9,42,1.26905
9,44,1.28182
9,46,1.30217
9,48,1.31875
9,50,1.334
9,52,1.34808
9,54,1.37037
9,56,1.39643
9,58,1.44138
9,60,1.47167
9,62,1.51129
9,64,1.53594
9,66,1.57879
9,68,1.62647
9,70,1.67714
9,72,1.7125
9,74,1.76351
9,76,1.84737
9,78,1.90385
9,80,1.97875
9,82,2.04268
9,84,2.12738
9,86,2.25698
9,88,2.36477
9,90,2.51667
9,92,2.75
9,94,2.97447
9,96,3.44479
9,98,4.20816
10,2,1
10,4,1
10,6,1.01667
10,8,1.025
10,10,1.04
10,12,1.05
10,14,1.05
10,16,1.0625
10,18,1.06667
10,20,1.085
10,22,1.13636
10,24,1.15417
10,26,1.17308
10,28,1.19286
10,30,1.20333
10,32,1.21563
10,34,1.22941
10,36,1.23889
10,38,1.24211
10,40,1.2825
10,42,1.29524
10,44,1.31136
10,46,1.33478
10,48,1.35625
10,50,1.376
10,52,1.39038
10,54,1.40185
10,56,1.425
10,58,1.46897
10,60,1.48833
