"Conjunto","Alfa","Acesso-Medio"
0,2,1.00301
0,4,1.02808
0,6,1.05316
0,8,1.04062
0,10,1.05316
0,12,1.07823
0,14,1.11764
0,16,1.11585
0,18,1.11445
0,20,1.14845
0,22,1.15346
0,24,1.166
0,26,1.17661
0,28,1.17137
0,30,1.18355
0,32,1.19421
0,34,1.19771
0,36,1.21754
0,38,1.23001
0,40,1.26128
0,42,1.27048
0,44,1.30163
0,46,1.31263
0,48,1.32272
0,50,1.35607
0,52,1.36756
0,54,1.39678
0,56,1.45974
0,58,1.5097
0,60,1.5881
0,62,1.62908
0,64,1.69728
0,66,1.73399
0,68,1.77297
0,70,1.84267
0,72,1.88343
0,74,1.93283
0,76,1.98358
0,78,2.06517
0,80,2.21665
0,82,2.32894
0,84,2.42274
0,86,2.52385
0,88,2.66937
0,90,2.88978
0,92,3.11587
0,94,3.51907
0,96,4.11234
0,98,4.88916
1,2,1.00301
1,4,1.00301
1,6,1.00301
1,8,1.00301
1,10,1.02307
1,12,1.0448
1,14,1.06032
1,16,1.0657
1,18,1.0643
1,20,1.07322
1,22,1.07596
1,24,1.08241
1,26,1.09174
1,28,1.10331
1,30,1.14009
1,32,1.166
1,34,1.16526
1,36,1.17854
1,38,1.20361
1,40,1.22618
1,42,1.26093
1,44,1.28112
1,46,1.32136
1,48,1.36451
1,50,1.3681
1,52,1.41964
1,54,1.45251
1,56,1.5063
1,58,1.57887
1,60,1.6115
1,62,1.65011
1,64,1.68317
1,66,1.71575
1,68,1.74789
1,70,1.82691
1,72,1.90014
1,74,1.9518
1,76,1.98358
1,78,2.03174
1,80,2.08877
1,82,2.18583
1,84,2.24483
1,86,2.37457
1,88,2.43572
1,90,2.61562
1,92,2.9
1,94,3.45718
1,96,4.5919
1,98,5.58615
2,2,1.00301
2,4,1.02808
2,6,1.01973
2,8,1.04062
2,10,1.04313
2,12,1.0448
2,14,1.046
2,16,1.04062
2,18,1.08102
2,20,1.10331
2,22,1.11699
2,24,1.13256
2,26,1.14574
2,28,1.15704
2,30,1.18355
2,32,1.17854
2,34,1.20951
2,36,1.23704
2,38,1.25376
2,40,1.26379
2,42,1.27525
2,44,1.29707
2,46,1.30609
2,48,1.33526
2,50,1.34403
2,52,1.34828
2,54,1.37449
2,56,1.41496
2,58,1.45609
2,60,1.49783
2,62,1.51422
2,64,1.60638
2,66,1.65648
2,68,1.71987
2,70,1.75813
2,72,1.81935
2,74,1.86505
2,76,1.94399
2,78,2.00859
2,80,2.11384
2,82,2.2213
2,84,2.40125
2,86,2.60316
2,88,2.78449
2,90,2.96333
2,92,3.37752
2,94,3.93201
2,96,4.71623
2,98,6.42847
3,2,1.00301
3,4,1.00301
3,6,1.03644
3,8,1.02808
3,10,1.02307
3,12,1.02808
3,14,1.03883
3,16,1.04062
3,18,1.0643
3,20,1.08325
3,22,1.08963
3,24,1.08659
3,26,1.11103
3,28,1.14271
3,30,1.15012
3,32,1.19107
3,34,1.20656
3,36,1.21197
3,38,1.22209
3,40,1.21615
3,42,1.24182
3,44,1.27428
3,46,1.31917
3,48,1.3457
3,50,1.36409
3,52,1.40614
3,54,1.41721
3,56,1.46153
3,58,1.51835
3,60,1.54129
3,62,1.59511
3,64,1.64086
3,66,1.68384
3,68,1.73904
3,70,1.79395
3,72,1.889
3,74,1.94367
3,76,1.99282
3,78,2.01245
3,80,2.07874
3,82,2.18827
3,84,2.32364
3,86,2.44454
3,88,2.59529
3,90,2.98451
3,92,3.20745
3,94,3.5244
3,96,3.95666
