"Conjunto","Alfa","Acesso-Medio"
0,2,1.04895
0,4,1.04895
0,6,1.0323
0,8,1.04895
0,10,1.04895
0,12,1.04895
0,14,1.08463
0,16,1.09266
0,18,1.09335
0,20,1.10889
0,22,1.13977
0,24,1.14469
0,26,1.17575
0,28,1.18096
0,30,1.1988
0,32,1.23002
0,34,1.24581
0,36,1.26263
0,38,1.26452
0,40,1.28372
0,42,1.32249
0,44,1.34865
0,46,1.37254
0,48,1.41109
0,50,1.46454
0,52,1.4985
0,54,1.52255
0,56,1.57343
0,58,1.65007
0,60,1.77156
0,62,1.87393
0,64,1.97303
0,66,2.03584
0,68,2.07146
0,70,2.22777
0,72,2.28799
0,74,2.35845
0,76,2.46596
0,78,2.60509
0,80,2.86089
0,82,3.01162
0,84,3.26102
0,86,3.55807
0,88,3.91767
0,90,4.33899
0,92,4.9874
0,94,6.4138
0,96,8.20534
0,98,11.3152
1,2,1.04895
1,4,1.02398
1,6,1.0323
1,8,1.02398
1,10,1.02897
1,12,1.04063
1,14,1.04182
1,16,1.06768
1,18,1.0878
1,20,1.10889
1,22,1.11706
1,24,1.12388
1,26,1.13732
1,28,1.14528
1,30,1.14219
1,32,1.1707
1,34,1.17823
1,36,1.20158
1,38,1.25664
1,40,1.27622
1,42,1.30108
1,44,1.33049
1,46,1.36603
1,48,1.41733
1,50,1.47453
1,52,1.49082
1,54,1.5392
1,56,1.58413
1,58,1.60357
1,60,1.63503
1,62,1.73214
1,64,1.80132
1,66,1.87237
1,68,1.96421
1,70,2.03511
1,72,2.1645
1,74,2.27475
1,76,2.40286
1,78,2.51543
1,80,2.77972
1,82,2.94462
1,84,3.15161
1,86,3.6359
1,88,4.17537
1,90,5.20702
1,92,6.04178
1,94,7.07697
1,96,9.50924
1,98,12.1603
2,2,1.04895
2,4,1.04895
2,6,1.0323
2,8,1.04895
2,10,1.07892
2,12,1.08225
2,14,1.0989
2,16,1.09266
2,18,1.10445
2,20,1.13387
2,22,1.13523
2,24,1.12804
2,26,1.13732
2,28,1.16312
2,30,1.18881
2,32,1.20504
2,34,1.21937
2,36,1.2321
2,38,1.25927
2,40,1.26873
2,42,1.31297
2,44,1.30778
2,46,1.34431
2,48,1.38611
2,50,1.40859
2,52,1.43702
2,54,1.4763
2,56,1.50742
2,58,1.53467
2,60,1.5651
2,62,1.66124
2,64,1.73108
2,66,1.82091
2,68,1.87753
2,70,1.9295
2,72,2.0202
2,74,2.0574
2,76,2.18071
2,78,2.28361
2,80,2.39261
2,82,2.52918
2,84,2.82099
2,86,3.22701
2,88,3.61116
2,90,4.50993
2,92,6.00704
2,94,8.449
2,96,12.3137
2,98,19.3572
3,2,1.04895
3,4,1.02398
3,6,1.01565
3,8,1.02398
3,10,1.00899
3,12,1.01565
3,14,1.03468
3,16,1.06144
3,18,1.0656
3,20,1.11389
3,22,1.0989
3,24,1.10723
3,26,1.11427
3,28,1.15955
3,30,1.16217
3,32,1.20192
3,34,1.20174
3,36,1.2432
3,38,1.26452
3,40,1.30619
3,42,1.33914
3,44,1.36
3,46,1.37037
3,48,1.41525
3,50,1.45854
3,52,1.50811
3,54,1.5466
3,56,1.54845
3,58,1.61046
3,60,1.64835
3,62,1.67574
3,64,1.68894
3,66,1.74371
3,68,1.79379
3,70,1.85957
3,72,1.9425
3,74,2.0088
3,76,2.10842
3,78,2.14529
3,80,2.32767
3,82,2.4171
3,84,2.5974
3,86,2.95635
3,88,3.47834
3,90,3.96936
3,92,4.64101
3,94,5.17036
3,96,5.88578
3,98,8.25297
4,2,1.04895
4,4,1.04895
4,6,1.1322
4,8,1.0989
4,10,1.08891
4,12,1.07393
4,14,1.06322
4,16,1.08017
4,18,1.0878
4,20,1.12388
4,22,1.13069
4,24,1.1655
4,26,1.17575
4,28,1.18096
4,30,1.19547
4,32,1.23002
4,34,1.25757
4,36,1.25985
4,38,1.27241
4,40,1.34865
4,42,1.39147
4,44,1.43266
4,46,1.44855
4,48,1.47145
4,50,1.53447
4,52,1.5619
4,54,1.628
4,56,1.65906
4,58,1.73619
4,60,1.84649
4,62,1.88843
4,64,1.92932
4,66,2.00406
4,68,2.1743
4,70,2.31197
4,72,2.42396
4,74,2.43945
4,76,2.4699
4,78,2.63967
4,80,2.81968
4,82,3.14929
4,84,3.26459
4,86,3.58363
4,88,4.10499
4,90,4.91952
4,92,6.02658
4,94,6.88673
4,96,8.32189
4,98,10.1195
5,2,1.04895
5,4,1.02398
5,6,1.01565
5,8,1.06144
5,10,1.07892
5,12,1.08225
5,14,1.09177
5,16,1.0989
5,18,1.0989
5,20,1.09391
5,22,1.10798
5,24,1.10723
5,26,1.12964
5,28,1.14885
5,30,1.16883
5,32,1.18007
5,34,1.21349
5,36,1.2321
5,38,1.2987
5,40,1.31868
5,42,1.32487
5,44,1.34638
5,46,1.38123
5,48,1.39236
5,50,1.47053
5,52,1.48697
5,54,1.49665
5,56,1.50207
5,58,1.56395
5,60,1.58342
5,62,1.62418
5,64,1.7545
5,66,1.81031
5,68,1.90692
5,70,1.97945
5,72,2.02298
5,74,2.18565
5,76,2.36474
5,78,2.46804
5,80,2.56244
5,82,2.73385
5,84,3.33952
5,86,3.90888
5,88,4.66011
5,90,5.76091
5,92,6.63141
5,94,8.09297
5,96,12.0161
5,98,16.0115
6,2,1.04895
6,4,1.02398
6,6,1.01565
6,8,1.06144
6,10,1.04895
6,12,1.04895
6,14,1.04895
6,16,1.08017
6,18,1.08225
6,20,1.11389
6,22,1.12615
6,24,1.1322
6,26,1.13348
6,28,1.13815
6,30,1.18215
6,32,1.19256
6,34,1.23406
6,36,1.23488
6,38,1.2619
6,40,1.26873
6,42,1.2987
6,44,1.31232
6,46,1.34865
6,48,1.35698
6,50,1.38661
6,52,1.42934
6,54,1.51145
6,56,1.51456
6,58,1.53812
6,60,1.56344
6,62,1.64191
6,64,1.70767
6,66,1.76339
6,68,1.78939
6,70,1.80676
6,72,1.88284
6,74,1.9575
6,76,2.05847
6,78,2.1248
6,80,2.254
6,82,2.45486
6,84,2.57718
6,86,2.81463
6,88,2.96295
6,90,3.53868
6,92,3.95366
6,94,4.82496
6,96,6.59445
6,98,8.78611
7,2,1.04895
7,4,1.04895
7,6,1.0323
7,8,1.04895
7,10,1.03896
7,12,1.05728
7,14,1.04895
7,16,1.04271
7,18,1.0767
7,20,1.07892
7,22,1.08528
7,24,1.09058
7,26,1.12195
7,28,1.12744
7,30,1.15218
7,32,1.17383
7,34,1.20762
7,36,1.22933
7,38,1.24875
7,40,1.28122
7,42,1.29632
7,44,1.33049
7,46,1.35299
7,48,1.37987
7,50,1.4006
7,52,1.45624
7,54,1.47075
7,56,1.49137
7,58,1.53123
7,60,1.55678
7,62,1.58068
7,64,1.66708
7,66,1.69982
7,68,1.84081
7,70,1.88954
7,72,1.96748
7,74,2.05875
7,76,2.1518
7,78,2.26056
7,80,2.42133
7,82,2.6108
7,84,2.7306
7,86,3.10039
7,88,3.59186
7,90,4.27572
7,92,4.68336
7,94,6.11304
7,96,8.00866
7,98,11.0053
8,2,1.04895
8,4,1.04895
8,6,1.0323
8,8,1.04895
