"Conjunto","Alfa","Acesso-Medio"
0,2,1.00301
0,4,1.02808
0,6,1.05316
0,8,1.04062
0,10,1.05316
0,12,1.07823
0,14,1.1248
0,16,1.11585
0,18,1.11445
0,20,1.1334
0,22,1.14434
0,24,1.166
0,26,1.18818
0,28,1.18212
0,30,1.20695
0,32,1.21928
0,34,1.23016
0,36,1.27884
0,38,1.28016
0,40,1.31896
0,42,1.32779
0,44,1.34494
0,46,1.37151
0,48,1.38959
0,50,1.42427
0,52,1.42157
0,54,1.49523
0,56,1.56541
0,58,1.61865
0,60,1.78368
0,62,1.83939
0,64,1.88848
0,66,1.97562
0,68,2.02962
0,70,2.1536
0,72,2.23309
0,74,2.2649
0,76,2.4059
0,78,2.46766
0,80,2.61409
0,82,2.84145
0,84,3.10933
0,86,3.44755
0,88,3.60057
0,90,3.93514
0,92,4.59531
0,94,6.38191
0,96,7.87153
0,98,10.5899
1,2,1.00301
1,4,1.00301
1,6,1.00301
1,8,1.00301
1,10,1.01304
1,12,1.03644
1,14,1.05316
1,16,1.05316
1,18,1.0643
1,20,1.07823
1,22,1.08051
1,24,1.09077
1,26,1.09945
1,28,1.11406
1,30,1.15012
1,32,1.17854
1,34,1.18296
1,36,1.18132
1,38,1.18777
1,40,1.22869
1,42,1.29675
1,44,1.30847
1,46,1.3497
1,48,1.38541
1,50,1.39017
1,52,1.50258
1,54,1.56581
1,56,1.59765
1,58,1.6982
1,60,1.74356
1,62,1.82645
1,64,1.88064
1,66,1.94827
1,68,1.97209
1,70,2.07193
1,72,2.20244
1,74,2.28252
1,76,2.38611
1,78,2.49595
1,80,2.58149
1,82,2.70445
1,84,2.79768
1,86,3.02302
1,88,3.45924
1,90,4.19481
1,92,5.24944
1,94,6.41286
1,96,9.46067
1,98,12.5059
2,2,1.00301
2,4,1.02808
2,6,1.01973
2,8,1.05316
2,10,1.05316
2,12,1.05316
2,14,1.06749
2,16,1.05943
2,18,1.09774
2,20,1.11836
2,22,1.12155
2,24,1.13674
2,26,1.15346
2,28,1.16421
2,30,1.18355
2,32,1.1848
2,34,1.21541
2,36,1.22311
2,38,1.25376
2,40,1.25627
2,42,1.28242
2,44,1.32671
2,46,1.36278
2,48,1.43347
2,50,1.46038
2,52,1.46787
2,54,1.49337
2,56,1.55287
2,58,1.60827
2,60,1.67837
2,62,1.70673
2,64,1.82422
2,66,1.889
2,68,1.96177
2,70,2.03754
2,72,2.14115
2,74,2.32861
2,76,2.49169
2,78,2.58339
2,80,2.7821
2,82,2.95765
2,84,3.11172
2,86,3.56535
2,88,4.27761
2,90,5.43519
2,92,6.95783
2,94,9.27677
2,96,12.2555
2,98,15.9233
3,2,1.00301
3,4,1.00301
3,6,1.03644
3,8,1.04062
3,10,1.0331
3,12,1.03644
3,14,1.046
3,16,1.04689
3,18,1.08102
3,20,1.09829
3,22,1.10331
3,24,1.09913
3,26,1.10331
3,28,1.13197
3,30,1.16015
3,32,1.20361
3,34,1.20951
3,36,1.21197
3,38,1.23792
3,40,1.24373
3,42,1.26809
3,44,1.30163
3,46,1.34098
3,48,1.3875
3,50,1.39017
3,52,1.43122
3,54,1.44879
3,56,1.51526
3,58,1.56677
3,60,1.60816
3,62,1.69217
3,64,1.79131
3,66,1.91028
3,68,2.04584
3,70,2.29402
3,72,2.52563
3,74,2.69457
3,76,2.78203
3,78,2.88172
3,80,2.99147
3,82,3.19128
3,84,3.44247
3,86,3.67964
3,88,4.15907
3,90,4.87017
3,92,5.51001
3,94,6.2464
3,96,6.89778
