"Conjunto","Alfa","Acesso-Medio"
0,2,1
0,4,1.025
0,6,1.01667
0,8,1.0375
0,10,1.03
0,12,1.03333
0,14,1.06429
0,16,1.075
0,18,1.07778
0,20,1.09
0,22,1.1
0,24,1.10833
0,26,1.13077
0,28,1.13571
0,30,1.14
0,32,1.15
0,34,1.16176
0,36,1.17222
0,38,1.17632
0,40,1.1875
0,42,1.20238
0,44,1.21136
0,46,1.22174
0,48,1.22708
0,50,1.242
0,52,1.24808
0,54,1.2463
0,56,1.25536
0,58,1.26897
0,60,1.275
0,62,1.28387
0,64,1.29375
0,66,1.29848
0,68,1.30735
0,70,1.32571
0,72,1.33333
0,74,1.33378
0,76,1.34342
0,78,1.34487
0,80,1.3475
0,82,1.35244
0,84,1.35833
0,86,1.3686
0,88,1.37614
0,90,1.39778
0,92,1.41087
0,94,1.42128
0,96,1.42708
0,98,1.44694
1,2,1
1,4,1
1,6,1.01667
1,8,1.0125
1,10,1.02
1,12,1.03333
1,14,1.03571
1,16,1.05625
1,18,1.05556
1,20,1.075
1,22,1.08636
1,24,1.0875
1,26,1.09615
1,28,1.10714
1,30,1.10333
1,32,1.11875
1,34,1.12059
1,36,1.13333
1,38,1.16316
1,40,1.1725
1,42,1.17619
1,44,1.18636
1,46,1.1913
1,48,1.20417
1,50,1.216
1,52,1.22115
1,54,1.22407
1,56,1.23571
1,58,1.24483
1,60,1.25
1,62,1.27258
1,64,1.27969
1,66,1.28788
1,68,1.30294
1,70,1.30286
1,72,1.31111
1,74,1.32703
1,76,1.33947
1,78,1.34103
1,80,1.35125
1,82,1.35854
1,84,1.36548
1,86,1.37326
1,88,1.39318
1,90,1.40111
1,92,1.40652
1,94,1.41064
1,96,1.42083
1,98,1.42653
2,2,1
2,4,1.025
2,6,1.01667
2,8,1.0375
2,10,1.06
2,12,1.06667
2,14,1.07857
2,16,1.075
2,18,1.07778
2,20,1.095
2,22,1.1
2,24,1.09583
2,26,1.10769
2,28,1.12143
2,30,1.13
2,32,1.14062
2,34,1.15
2,36,1.15833
2,38,1.16842
2,40,1.1675
2,42,1.18333
2,44,1.18182
2,46,1.18913
2,48,1.20833
2,50,1.208
2,52,1.21538
2,54,1.22407
2,56,1.22857
2,58,1.24138
2,60,1.24667
2,62,1.26774
2,64,1.275
2,66,1.27727
2,68,1.29118
2,70,1.30286
2,72,1.30972
2,74,1.31622
2,76,1.32237
2,78,1.33462
2,80,1.3475
2,82,1.35976
2,84,1.37024
2,86,1.38256
2,88,1.39886
2,90,1.41111
2,92,1.42391
2,94,1.43191
2,96,1.44792
2,98,1.45816
3,2,1
3,4,1
3,6,1
3,8,1
3,10,1
3,12,1
3,14,1.02857
3,16,1.05
3,18,1.06111
3,20,1.105
3,22,1.09545
3,24,1.09583
3,26,1.1
3,28,1.11429
3,30,1.12
3,32,1.14375
3,34,1.15294
3,36,1.16667
3,38,1.17368
3,40,1.195
3,42,1.20952
3,44,1.21818
3,46,1.21739
3,48,1.22292
3,50,1.236
3,52,1.25
3,54,1.25741
3,56,1.25536
3,58,1.26552
3,60,1.28167
3,62,1.28387
3,64,1.2875
3,66,1.29697
3,68,1.30441
3,70,1.31571
3,72,1.32361
3,74,1.32838
3,76,1.33158
3,78,1.33718
3,80,1.345
3,82,1.35366
3,84,1.35833
3,86,1.36512
3,88,1.37045
3,90,1.38556
3,92,1.40326
3,94,1.40851
3,96,1.41667
3,98,1.42245
4,2,1
4,4,1.025
4,6,1.11667
4,8,1.0875
4,10,1.08
4,12,1.06667
4,14,1.05714
4,16,1.075
4,18,1.07778
4,20,1.105
4,22,1.11364
4,24,1.1375
4,26,1.13846
4,28,1.14286
4,30,1.15333
4,32,1.16875
4,34,1.18824
4,36,1.18611
4,38,1.18684
4,40,1.205
4,42,1.23095
4,44,1.23636
4,46,1.24348
4,48,1.24583
4,50,1.248
4,52,1.25385
4,54,1.26481
4,56,1.26071
4,58,1.27069
4,60,1.27833
4,62,1.28548
4,64,1.29062
4,66,1.30303
4,68,1.31765
4,70,1.33143
4,72,1.34444
4,74,1.35
4,76,1.35
4,78,1.36026
4,80,1.365
4,82,1.37195
4,84,1.37619
4,86,1.38837
4,88,1.39205
4,90,1.40111
4,92,1.4163
4,94,1.41596
4,96,1.41979
4,98,1.42857
5,2,1
5,4,1
5,6,1
5,8,1.0375
5,10,1.06
5,12,1.06667
5,14,1.07857
5,16,1.08125
5,18,1.08333
5,20,1.08
5,22,1.08182
5,24,1.08333
5,26,1.09615
5,28,1.1
5,30,1.10667
5,32,1.11875
5,34,1.13529
5,36,1.13611
5,38,1.15263
5,40,1.1675
5,42,1.17143
5,44,1.18409
5,46,1.18913
5,48,1.19375
5,50,1.21
5,52,1.21538
5,54,1.22222
5,56,1.225
5,58,1.23966
5,60,1.24
5,62,1.24839
5,64,1.2625
5,66,1.27121
5,68,1.27941
5,70,1.28429
5,72,1.28611
5,74,1.3027
5,76,1.31184
5,78,1.31282
5,80,1.31375
5,82,1.32195
5,84,1.33333
5,86,1.34419
5,88,1.35682
5,90,1.36556
5,92,1.37283
5,94,1.38617
5,96,1.4
5,98,1.41327
6,2,1
6,4,1
6,6,1
6,8,1.0375
6,10,1.03
6,12,1.03333
6,14,1.03571
6,16,1.05625
6,18,1.05556
6,20,1.085
6,22,1.09545
6,24,1.1
6,26,1.09615
6,28,1.09643
6,30,1.11667
6,32,1.12812
6,34,1.14412
6,36,1.14444
6,38,1.15263
6,40,1.1575
6,42,1.16667
6,44,1.175
6,46,1.18913
6,48,1.18958
6,50,1.198
6,52,1.20577
6,54,1.22037
6,56,1.22143
6,58,1.22586
6,60,1.23167
6,62,1.24677
6,64,1.24688
6,66,1.25303
6,68,1.26324
6,70,1.26571
6,72,1.275
6,74,1.28243
6,76,1.29737
6,78,1.3
6,80,1.31
6,82,1.32927
6,84,1.3381
6,86,1.35116
6,88,1.35682
6,90,1.36333
6,92,1.37283
6,94,1.38404
6,96,1.39271
6,98,1.40306
7,2,1
7,4,1.025
7,6,1.01667
7,8,1.0375
7,10,1.03
7,12,1.05
7,14,1.04286
7,16,1.0375
7,18,1.06667
7,20,1.07
7,22,1.07727
7,24,1.07917
7,26,1.09615
7,28,1.10357
7,30,1.12333
7,32,1.14062
7,34,1.15882
7,36,1.16944
7,38,1.17368
7,40,1.185
7,42,1.19048
7,44,1.20455
7,46,1.21522
7,48,1.22083
7,50,1.222
7,52,1.23462
7,54,1.23704
7,56,1.24643
7,58,1.25345
7,60,1.25833
7,62,1.27097
7,64,1.27813
7,66,1.28333
7,68,1.29559
7,70,1.30286
7,72,1.30694
7,74,1.31757
7,76,1.32105
7,78,1.33077
7,80,1.335
7,82,1.34512
7,84,1.34881
7,86,1.3593
7,88,1.36932
7,90,1.38333
7,92,1.38804
7,94,1.4
7,96,1.40833
7,98,1.41837
8,2,1
8,4,1.025
8,6,1.01667
8,8,1.0375
8,10,1.04
8,12,1.04167
8,14,1.03571
8,16,1.04375
8,18,1.05
8,20,1.065
8,22,1.08636
8,24,1.1
8,26,1.1
8,28,1.10357
8,30,1.11
8,32,1.13437
8,34,1.14706
8,36,1.16389
8,38,1.16842
8,40,1.1875
8,42,1.19762
8,44,1.20682
8,46,1.2087
8,48,1.21458
8,50,1.242
8,52,1.25385
8,54,1.25556
8,56,1.26429
8,58,1.27241
8,60,1.28167
8,62,1.29839
8,64,1.31094
8,66,1.31667
8,68,1.32059
8,70,1.33286
8,72,1.34583
8,74,1.34865
8,76,1.35526
8,78,1.36026
8,80,1.37
8,82,1.39024
8,84,1.40119
8,86,1.41047
8,88,1.41477
8,90,1.41222
8,92,1.42065
8,94,1.4266
8,96,1.43333
8,98,1.45102
9,2,1
9,4,1
9,6,1
9,8,1.025
9,10,1.05
9,12,1.06667
9,14,1.07143
9,16,1.0625
9,18,1.06667
9,20,1.08
9,22,1.08636
9,24,1.10417
9,26,1.11923
9,28,1.14286
9,30,1.15
9,32,1.15313
9,34,1.15882
9,36,1.17222
9,38,1.17105
9,40,1.1825
9,42,1.20952
9,44,1.21136
9,46,1.22174
9,48,1.23333
9,50,1.24
9,52,1.24231
9,54,1.25
9,56,1.25536
9,58,1.26034
9,60,1.275
9,62,1.29355
9,64,1.30313
9,66,1.31212
9,68,1.31912
9,70,1.33143
9,72,1.34167
9,74,1.35
9,76,1.36184
9,78,1.36667
9,80,1.38
9,82,1.38902
9,84,1.39048
9,86,1.39651
9,88,1.40114
9,90,1.41778
9,92,1.43043
9,94,1.43404
9,96,1.44271
9,98,1.4551
10,2,1
10,4,1
10,6,1.01667
10,8,1.025
10,10,1.04
10,12,1.04167
10,14,1.04286
10,16,1.05625
10,18,1.06111
10,20,1.075
10,22,1.09091
10,24,1.1125
10,26,1.13846
10,28,1.16071
10,30,1.15667
10,32,1.15625
10,34,1.16176
10,36,1.16944
10,38,1.17895
10,40,1.19
10,42,1.20238
10,44,1.21136
10,46,1.21957
10,48,1.225
10,50,1.23
10,52,1.23077
10,54,1.23519
10,56,1.25
10,58,1.26897
10,60,1.28
10,62,1.28387
