"Conjunto","Alfa","Acesso-Medio"
0,2,1.00301
0,4,1.02808
0,6,1.05316
0,8,1.04062
0,10,1.05316
0,12,1.07823
0,14,1.11764
0,16,1.10958
0,18,1.11445
0,20,1.1334
0,22,1.13978
0,24,1.15764
0,26,1.17661
0,28,1.17495
0,30,1.18689
0,32,1.19421
0,34,1.20361
0,36,1.23704
0,38,1.24584
0,40,1.25125
0,42,1.2657
0,44,1.28112
0,46,1.29083
0,48,1.29555
0,50,1.30391
0,52,1.30584
0,54,1.32806
0,56,1.34869
0,58,1.35406
0,60,1.36744
0,62,1.37186
0,64,1.38541
0,66,1.39661
0,68,1.41011
0,70,1.42284
0,72,1.44461
0,74,1.45978
0,76,1.47812
0,78,1.48651
0,80,1.50577
0,82,1.52531
0,84,1.54392
0,86,1.56283
0,88,1.58202
0,90,1.6037
0,92,1.62117
0,94,1.63362
0,96,1.65914
0,98,1.68465
1,2,1.00301
1,4,1.00301
1,6,1.00301
1,8,1.00301
1,10,1.01304
1,12,1.03644
1,14,1.05316
1,16,1.05316
1,18,1.05316
1,20,1.06319
1,22,1.06684
1,24,1.07406
1,26,1.08016
1,28,1.0854
1,30,1.10665
1,32,1.12212
1,34,1.11806
1,36,1.12839
1,38,1.1429
1,40,1.16349
1,42,1.18212
1,44,1.18993
1,46,1.21669
1,48,1.22451
1,50,1.23571
1,52,1.25569
1,54,1.28348
1,56,1.30212
1,58,1.32466
1,60,1.33735
1,62,1.35083
1,64,1.36503
1,66,1.38902
1,68,1.39241
1,70,1.40278
1,72,1.41814
1,74,1.43403
1,76,1.44644
1,78,1.45951
1,80,1.47818
1,82,1.49962
1,84,1.52242
1,86,1.543
1,88,1.56264
1,90,1.57695
1,92,1.595
1,94,1.62189
1,96,1.63616
1,98,1.66111
2,2,1.00301
2,4,1.02808
2,6,1.01973
2,8,1.05316
2,10,1.05316
2,12,1.05316
2,14,1.05316
2,16,1.04689
2,18,1.08659
2,20,1.08826
2,22,1.09419
2,24,1.10331
2,26,1.11874
2,28,1.13913
2,30,1.17018
2,32,1.16913
2,34,1.18591
2,36,1.19247
2,38,1.19569
2,40,1.19609
2,42,1.206
2,44,1.22413
2,46,1.23196
2,48,1.25376
2,50,1.25777
2,52,1.25569
2,54,1.26491
2,56,1.28421
2,58,1.30045
2,60,1.31896
2,62,1.34112
2,64,1.3666
2,66,1.37686
2,68,1.39831
2,70,1.40994
2,72,1.42232
2,74,1.44623
2,76,1.4636
2,78,1.47494
2,80,1.49323
2,82,1.50818
2,84,1.52362
2,86,1.53834
2,88,1.56036
2,90,1.58141
2,92,1.60809
2,94,1.62402
2,96,1.65079
2,98,1.67953
3,2,1.00301
3,4,1.00301
3,6,1.03644
3,8,1.02808
3,10,1.02307
3,12,1.02808
3,14,1.046
3,16,1.05316
3,18,1.08659
3,20,1.09328
3,22,1.09875
3,24,1.09495
3,26,1.09559
3,28,1.11406
3,30,1.11668
3,32,1.14719
3,34,1.15051
3,36,1.15346
3,38,1.16666
3,40,1.16851
3,42,1.17973
3,44,1.18993
3,46,1.19925
3,48,1.20779
3,50,1.22167
3,52,1.23254
3,54,1.24262
3,56,1.26451
3,58,1.28835
3,60,1.29722
3,62,1.30876
3,64,1.32742
3,66,1.34646
3,68,1.34521
3,70,1.37126
3,72,1.39028
3,74,1.40286
3,76,1.41741
3,78,1.43765
3,80,1.46063
3,82,1.47638
3,84,1.51287
3,86,1.51734
3,88,1.53643
3,90,1.56915
3,92,1.58737
3,94,1.60695
3,96,1.62258
