"Alfa","Acesso-Medio"
2,1.007
4,1.01875
6,1.0235
8,1.03475
10,1.0452
12,1.0565
14,1.06557
16,1.07438
18,1.08383
20,1.0956
22,1.10486
24,1.11517
26,1.12519
28,1.13657
30,1.14737
32,1.15881
34,1.16947
36,1.18075
38,1.19289
40,1.20552
42,1.21769
44,1.23018
46,1.24104
48,1.25475
50,1.26904
52,1.28479
54,1.29844
56,1.3122
58,1.32669
60,1.34025
62,1.35574
64,1.37031
66,1.386
68,1.40104
70,1.41786
72,1.43521
74,1.45282
76,1.47079
78,1.48781
80,1.50579
82,1.5253
84,1.54363
86,1.56229
88,1.58085
90,1.60207
92,1.62273
94,1.64394
96,1.66742
98,1.69019
