"Conjunto","Alfa","Acesso-Medio"
0,2,1.04895
0,4,1.04895
0,6,1.0323
0,8,1.04895
0,10,1.03896
0,12,1.04063
0,14,1.07036
0,16,1.08017
0,18,1.08225
0,20,1.09391
0,22,1.10798
0,24,1.11555
0,26,1.13732
0,28,1.14172
0,30,1.14552
0,32,1.15197
0,34,1.16354
0,36,1.17383
0,38,1.17777
0,40,1.18881
0,42,1.20356
0,44,1.21242
0,46,1.22269
0,48,1.22794
0,50,1.24276
0,52,1.24875
0,54,1.24875
0,56,1.25767
0,58,1.26942
0,60,1.27706
0,62,1.2842
0,64,1.29402
0,66,1.2987
0,68,1.30752
0,70,1.32582
0,72,1.33339
0,74,1.3338
0,76,1.34339
0,78,1.34481
0,80,1.3474
0,82,1.35231
0,84,1.35817
0,86,1.3684
0,88,1.3759
0,90,1.39749
0,92,1.41055
0,94,1.42092
0,96,1.4267
0,98,1.44651
1,2,1.04895
1,4,1.02398
1,6,1.0323
1,8,1.02398
1,10,1.02897
1,12,1.04063
1,14,1.04182
1,16,1.06144
1,18,1.06005
1,20,1.07892
1,22,1.08982
1,24,1.09058
1,26,1.0989
1,28,1.1096
1,30,1.10556
1,32,1.12075
1,34,1.12241
1,36,1.13498
1,38,1.16462
1,40,1.17383
1,42,1.17739
1,44,1.18745
1,46,1.19229
1,48,1.20504
1,50,1.21678
1,52,1.22186
1,54,1.2247
1,56,1.23626
1,58,1.24531
1,60,1.25042
1,62,1.27292
1,64,1.27997
1,66,1.28811
1,68,1.30311
1,70,1.30298
1,72,1.31119
1,74,1.32705
1,76,1.33945
1,78,1.34097
1,80,1.35115
1,82,1.3584
1,84,1.3653
1,86,1.37305
1,88,1.39293
1,90,1.40082
1,92,1.4062
1,94,1.41029
1,96,1.42045
1,98,1.42612
2,2,1.04895
2,4,1.04895
2,6,1.0323
2,8,1.04895
2,10,1.06893
2,12,1.07393
2,14,1.08463
2,16,1.08017
2,18,1.08225
2,20,1.0989
2,22,1.10344
2,24,1.0989
2,26,1.11043
2,28,1.12388
2,30,1.1322
2,32,1.14261
2,34,1.15179
2,36,1.15995
2,38,1.16988
2,40,1.16883
2,42,1.18453
2,44,1.18291
2,46,1.19011
2,48,1.20921
2,50,1.20879
2,52,1.21609
2,54,1.2247
2,56,1.22913
2,58,1.24186
2,60,1.24709
2,62,1.26809
2,64,1.27529
2,66,1.27751
2,68,1.29136
2,70,1.30298
2,72,1.3098
2,74,1.31625
2,76,1.32236
2,78,1.33456
2,80,1.3474
2,82,1.35962
2,84,1.37006
2,86,1.38466
2,88,1.3986
2,90,1.41303
2,92,1.42358
2,94,1.43261
2,96,1.44959
2,98,1.45875
3,2,1.04895
3,4,1.02398
3,6,1.01565
3,8,1.02398
3,10,1.00899
3,12,1.01565
3,14,1.03468
3,16,1.06144
3,18,1.0656
3,20,1.11389
3,22,1.0989
3,24,1.10306
3,26,1.10274
3,28,1.12031
3,30,1.12221
3,32,1.14885
3,34,1.15473
3,36,1.16828
3,38,1.17514
3,40,1.1988
3,42,1.21307
3,44,1.22151
3,46,1.22052
3,48,1.22586
3,50,1.23676
3,52,1.25259
3,54,1.258
3,56,1.25767
3,58,1.26598
3,60,1.28372
3,62,1.2842
3,64,1.2909
3,66,1.30022
3,68,1.30752
3,70,1.31868
3,72,1.32645
3,74,1.3311
3,76,1.33419
3,78,1.33969
3,80,1.3474
3,82,1.35596
3,84,1.36054
3,86,1.36724
3,88,1.37249
3,90,1.3875
3,92,1.40512
3,94,1.41029
3,96,1.41837
3,98,1.42409
4,2,1.04895
4,4,1.04895
4,6,1.1322
4,8,1.0989
4,10,1.08891
4,12,1.07393
4,14,1.06322
4,16,1.08017
4,18,1.08225
4,20,1.10889
4,22,1.11706
4,24,1.14053
4,26,1.14117
4,28,1.14528
4,30,1.15551
4,32,1.1707
4,34,1.18999
4,36,1.1877
4,38,1.18829
4,40,1.20879
4,42,1.23448
4,44,1.23967
4,46,1.24658
4,48,1.24875
4,50,1.25075
4,52,1.25644
4,54,1.26725
4,56,1.26302
4,58,1.27287
4,60,1.28039
4,62,1.28742
4,64,1.29402
4,66,1.30627
4,68,1.32074
4,70,1.33438
4,72,1.34726
4,74,1.3527
4,76,1.35259
4,78,1.36274
4,80,1.36738
4,82,1.37424
4,84,1.37838
4,86,1.39047
4,88,1.39406
4,90,1.40304
4,92,1.41815
4,94,1.41773
4,96,1.4215
4,98,1.4302
5,2,1.04895
5,4,1.02398
5,6,1.01565
5,8,1.04895
5,10,1.06893
5,12,1.07393
5,14,1.08463
5,16,1.08641
5,18,1.0878
5,20,1.08392
5,22,1.08528
5,24,1.08641
5,26,1.0989
5,28,1.10247
5,30,1.10889
5,32,1.12075
5,34,1.1371
5,36,1.13775
5,38,1.15674
5,40,1.17133
5,42,1.17502
5,44,1.18745
5,46,1.19229
5,48,1.19672
5,50,1.21279
5,52,1.21801
5,54,1.2247
5,56,1.22734
5,58,1.24186
5,60,1.24209
5,62,1.25036
5,64,1.26436
5,66,1.27297
5,68,1.2796
5,70,1.28443
5,72,1.28621
5,74,1.30275
5,76,1.31185
5,78,1.31279
5,80,1.31369
5,82,1.32185
5,84,1.33319
5,86,1.344
5,88,1.3566
5,90,1.3653
5,92,1.37254
5,94,1.38585
5,96,1.40276
5,98,1.41593
6,2,1.04895
6,4,1.02398
6,6,1.01565
6,8,1.04895
6,10,1.03896
6,12,1.04063
6,14,1.04182
6,16,1.06144
6,18,1.0656
6,20,1.09391
6,22,1.10344
6,24,1.10723
6,26,1.10274
6,28,1.0989
6,30,1.11888
6,32,1.13012
6,34,1.14591
6,36,1.14608
6,38,1.15411
6,40,1.15884
6,42,1.16788
6,44,1.1761
6,46,1.19011
6,48,1.19048
6,50,1.1988
6,52,1.20649
6,54,1.221
6,56,1.22199
6,58,1.22636
6,60,1.2321
6,62,1.24714
6,64,1.24719
6,66,1.25329
6,68,1.26344
6,70,1.26588
6,72,1.2765
6,74,1.28385
6,76,1.2987
6,78,1.30126
6,80,1.31119
6,82,1.33038
6,84,1.33914
6,86,1.35214
6,88,1.35773
6,90,1.36419
6,92,1.37363
6,94,1.38479
6,96,1.3934
6,98,1.4037
7,2,1.04895
7,4,1.04895
7,6,1.0323
7,8,1.04895
7,10,1.03896
7,12,1.05728
7,14,1.04895
7,16,1.04271
7,18,1.07115
7,20,1.07393
7,22,1.08074
7,24,1.08225
7,26,1.0989
7,28,1.10604
7,30,1.12554
7,32,1.14261
7,34,1.1606
7,36,1.17105
7,38,1.17514
7,40,1.18631
7,42,1.19167
7,44,1.20561
7,46,1.21618
7,48,1.22169
7,50,1.22478
7,52,1.2353
7,54,1.23765
7,56,1.24697
7,58,1.25392
7,60,1.25874
7,62,1.27292
7,64,1.27997
7,66,1.28356
7,68,1.29576
7,70,1.30441
7,72,1.3098
7,74,1.3176
7,76,1.32236
7,78,1.33072
7,80,1.33616
7,82,1.34743
7,84,1.34865
7,86,1.36027
7,88,1.37022
7,90,1.38306
7,92,1.38883
7,94,1.40179
7,96,1.40901
7,98,1.41899
8,2,1.04895
8,4,1.04895
8,6,1.0323
8,8,1.04895
