"Conjunto","Alfa","Acesso-Medio"
0,2,1.00301
0,4,1.02808
0,6,1.05316
0,8,1.04062
0,10,1.05316
0,12,1.07823
0,14,1.11764
0,16,1.10958
0,18,1.10331
0,20,1.12337
0,22,1.13066
0,24,1.1451
0,26,1.16118
0,28,1.15346
0,30,1.1568
0,32,1.16286
0,34,1.16821
0,36,1.19247
0,38,1.19305
0,40,1.19609
0,42,1.20361
0,44,1.21957
0,46,1.2276
0,48,1.23078
0,50,1.23972
0,52,1.2364
0,54,1.24633
0,56,1.25734
0,58,1.26587
0,60,1.27716
0,62,1.28126
0,64,1.29451
0,66,1.30239
0,68,1.30981
0,70,1.31681
0,72,1.33317
0,74,1.33644
0,76,1.34746
0,78,1.34763
0,80,1.35657
0,82,1.3614
0,84,1.37794
0,86,1.39138
0,88,1.40535
0,90,1.41313
0,92,1.42057
0,94,1.42449
0,96,1.43242
0,98,1.44106
1,2,1.00301
1,4,1.00301
1,6,1.00301
1,8,1.00301
1,10,1.01304
1,12,1.03644
1,14,1.05316
1,16,1.05316
1,18,1.05316
1,20,1.06319
1,22,1.06228
1,24,1.06988
1,26,1.07631
1,28,1.07823
1,30,1.09997
1,32,1.11585
1,34,1.11216
1,36,1.11445
1,38,1.12443
1,40,1.13842
1,42,1.15585
1,44,1.15802
1,46,1.18181
1,48,1.18898
1,50,1.19358
1,52,1.2094
1,54,1.22961
1,56,1.24122
1,58,1.25722
1,60,1.27048
1,62,1.27965
1,64,1.28667
1,66,1.30391
1,68,1.30686
1,70,1.31108
1,72,1.32202
1,74,1.33509
1,76,1.3435
1,78,1.34763
1,80,1.35782
1,82,1.37363
1,84,1.38033
1,86,1.39138
1,88,1.39737
1,90,1.40198
1,92,1.41075
1,94,1.42449
1,96,1.43347
1,98,1.44925
2,2,1.00301
2,4,1.02808
2,6,1.01973
2,8,1.05316
2,10,1.05316
2,12,1.05316
2,14,1.05316
2,16,1.04689
2,18,1.07545
2,20,1.07322
2,22,1.08051
2,24,1.09077
2,26,1.09559
2,28,1.11047
2,30,1.13006
2,32,1.12839
2,34,1.14166
2,36,1.14789
2,38,1.15082
2,40,1.15095
2,42,1.15585
2,44,1.16942
2,46,1.17526
2,48,1.19525
2,50,1.1996
2,52,1.1959
2,54,1.20547
2,56,1.21973
2,58,1.23474
2,60,1.25376
2,62,1.26509
2,64,1.28197
2,66,1.29023
2,68,1.29801
2,70,1.30821
2,72,1.31506
2,74,1.3256
2,76,1.34086
2,78,1.35278
2,80,1.36033
2,82,1.36629
2,84,1.36839
2,86,1.37622
2,88,1.39281
2,90,1.39418
2,92,1.40421
2,94,1.41168
2,96,1.42197
2,98,1.4298
3,2,1.00301
3,4,1.00301
3,6,1.03644
3,8,1.02808
3,10,1.02307
3,12,1.02808
3,14,1.03883
3,16,1.04062
3,18,1.06988
3,20,1.07322
3,22,1.08051
3,24,1.07823
3,26,1.08016
3,28,1.09615
3,30,1.09997
3,32,1.12525
3,34,1.12986
3,36,1.13396
3,38,1.14818
3,40,1.14594
3,42,1.15824
3,44,1.16942
3,46,1.17963
3,48,1.18689
3,50,1.19559
3,52,1.20361
3,54,1.21104
3,56,1.22869
3,58,1.2503
3,60,1.25376
3,62,1.26509
3,64,1.27727
3,66,1.29175
3,68,1.28769
3,70,1.30678
3,72,1.32202
3,74,1.32831
3,76,1.33823
3,78,1.34892
3,80,1.35782
3,82,1.36262
3,84,1.38391
3,86,1.38672
3,88,1.39737
3,90,1.41424
3,92,1.42711
3,94,1.43516
3,96,1.43974
